2021-07-08 23:59:54|Neden bu ilaca ruhsat vermediniz ?Bakan bey @drfahrettinkoca Böyle bir imkan varken , aşı dayatmanız bizim sağlığımızı düşünmediğiniz göstergesidir. https://t.co/7elupwLdq8
2021-07-08 23:59:50|yarın aşı oluyorum 🙏🏼🙏🏼
2021-07-08 23:58:40|Biontech oldum bugün sabah 09.00’da. Bundan 6 ay önce kovid geçirdiğimde bunun yarısı kadar yıpranmamıştım. Biontech’in aşı olduğuna emin miyiz?
2021-07-08 23:58:22|@mpdogukan Aşılama oranı haritasına baktığında zaten cahil halkın aşı olmadığını görüyorsun varsın olmasınlar türkovac olurlar ama 😎
2021-07-08 23:58:09|@drkaanyl sigara içenlerde mi yan etki yapıyomuş aşı abi.. ben tam annamadım?
2021-07-08 23:57:38|@dogaguzdogaguz Aptallar çünkü. Aşı oldun korunuyorsun aşısızlarla derdin ne diyorum virüsü kapıyorum gene ama hastaneye düşmüyorum diyor ee iyi işte hafif atlatır bağışıklık kazanırsın diyorum aptal aptal suratıma bakıyor
2021-07-08 23:57:33|@realAnilAba @ANTALYABB Virüs yalan diyen doktor, aşı bulan aptallar, Türk'e virüs bulaşmaz diyen elon musk, fesli tarihçi, faiz enflasyon ilişkisi kuran araba teybi, evrim karşıtı biyolog derken liberal kudurtan iktisatçımız oldu.
2021-07-08 23:56:39|Ben ne zaman aşı vurulcam ve bi tech sana vuruldum esprisi yapcam acaba
2021-07-08 23:56:32|@asi_psikopanda Takip edermisnz lütfen destek olun
2021-07-08 23:56:29|@KoronaReport Adam kendi elinizle mezarınızı kazdırıyor, siz yinede görmüyorsunuz! Bu sözleri tevil Edenin ahmaklığından hiç mi hiç şüphe etmem. Aşı virüs geçirdiğinde hafif geçirmek için miş! Ula* Aşıdan sonra ölen onbinlerce insan hafif bir acıyla mı öldü ?!
2021-07-08 23:56:24|@asi_psikopanda @gonulhkmkaya08 Acıktıysan aç yatacaksın bu saatte yemek yenmez?!
2021-07-08 23:54:28|@mem_siirt @ziyaselcuk @tcmeb @dnzdp1979 @zekeriyabutur @ziyaselcuk Bakanım eylülde okullar açılacak aşı olan ailelerin çocukları ile aşı olmayan ailelerin çocukları bir mi eğitim görecek? Aşı olan duyarlı vatandaslarimiz bu konuda düşünceli...
2021-07-08 23:54:28|Sağlık Bakanı Fahrettin Koca: Son 10 günde 8 milyon dozdan fazla aşı yapıldı.
2021-07-08 23:53:45|@asi_psikopanda Anne değilim ama vicdanım almıyor resmen davetiye bu sapıklara. Hayvanlar için kanun düzenlendi diye iki dk sevindim bunu çıkardılar kötü haber okumak istemiyorum artık ben
2021-07-08 23:53:13|Ası bende kafa yapmis olabilir mi
2021-07-08 23:53:05|@asi_psikopanda Kesinlikle katılıyorum !
2021-07-08 23:52:09|@Dost714 @ovb_txt @tedisama @Alonee47991197 @CaKizil Daha fazla aşı satacaksa neden demesin. Siz iddialarınızı haberlere mi dayandırıyorsunuz yani sonuç olarak? Öyleyse ortada anlaşılan bir şey yok.
2021-07-08 23:51:35|"""Aşı OLMALIYIZ"" diyen bilim insanı profesör;

""Aşı OLMAMALIYIZ""diyen bilim insanı profesör

""Maske TAKMALİYİZ""diyen bilim insanı profesör

""Maske TAKMASAKTA olur""diyen bilim insanı profesör.

Maskeyi koluna takıp,aşı randevusunu alıp aşıya gitmeyen vatandaş CEMİL abi!
#aşı
#Maske"
2021-07-08 23:50:50|"@yaseminalper18 @secondvirus O değil de ben aşı  hakkımı
Tayyip 
Koca 
Kemal e vereyim 
4 er doz alsınlar 
Beni bu dertten kurtarsınlar 
Yeminle silah alıp dağa çıkacam 
Yarım yamalak psikolojimiz var oda bunlar yüzünden gidecek"
2021-07-08 23:50:41|@drfahrettinkoca @drfahrettinkoca bakanım aşı olmayanlara kısıtlama bazı yerlere girememe olursa aşı olacak bi çok kisi var bildiğim.
2021-07-08 23:50:41|@asi_psikopanda Çocuk ne yapacak bi dk deyip kamera mı arasın? Vicdansızlık bu artık
2021-07-08 23:50:23|@lazkazim53 @Btaskn3 @abigilinkiz Abi eğer bu yazı ironi değilse söylüyorum; her duyduğuna inanma Almanya da bedava aşı uygulanıyor. Ve İtalya, Amerika, Fransa... gibi gelişmiş ülkelerde.
2021-07-08 23:50:17|@asi_psikopanda Mutlu geceler diliyorum tabii bu süreçte ne kadar olunabilirse..
2021-07-08 23:50:12|@ismayskrmn @Halitslam3 @MonteTostu @gokkurt_gok @drfahrettinkoca Lan arkadaş! Sen git bu lafları aşı olmayanlara kısıtlama ve hatta hapis isteyenlere söyle! İster fare ol ister dinazor, bize farketmez!
2021-07-08 23:50:08|@JjZizi1 @yakupbvl @KoronaReport İlaçla aşı aynı şey değil bugün bir hap içsen büyük ihtimalle kurtulursun ama aşının geri dönüşü yok! Ağızdan almakla vücuda enjekte etmek aynı şey değil.
2021-07-08 23:50:00|'ABD'de koronavirüse karşı aşı uygulaması, 280 bine yakın olası ölümü engelledi' https://t.co/X4e2ahZUFc https://t.co/CzMuqkmTV7
2021-07-08 23:49:12|@Erdogan74518986 Dışarıda içtim yemekte. Bodrumdayim güvenemiyorum dışarıdaki restoranlara. Aşı bende reaksiyon yaptı 20 gündür kolum yanıyor. Endişe sebebim o.
2021-07-08 23:49:11|@benbaskanim @denizv1 @DrGunerSonmez Hocam Japonya aşı olmadı mı sizce İsrail yada grip gibi mutasyona uğruyor ve aşılar fayda etmiyor olduğun aşı mutasyon öncesi
2021-07-08 23:48:56|asi olmak istiorum ben
2021-07-08 23:48:52|@yusuffuA1905 @mhaktas @KoronaReport Aşı olmak isteyenler hep bunu söylüyordu zaten, sağlığı yerinde olanların aşı olmasına gerek yok. Risk grubundakiler ve isteyenler olsun. Olmak istemeyenlere neden baskı var neden şantaj yapıyorlar??
2021-07-08 23:48:33|@asi_psikopanda @gonulhkmkaya08 Bu saatteee 🤔
